Surnames,
AACHARYA,
AAFRIN,
AALA,
AALAM,
AALEMAGAR,
AASHISH,
AATREYA,
AAUJI,
AAZAD,
ACHAJU,
ACHARAYA,
ACHARJ,
ACHARJU,
ACHARY,
ACHARYA,
ACHARYANI,
ACHAYA,
ACHAYRA,
ACHHAMI,
ACHRYA,
ADHAKARE,
ADHAKARI,
ADHIAKARI,
ADHIAKRI,
ADHIKAARI,
ADHIKAR,
ADHIKAREE,
ADHIKARI,
ADHIKARY,
ADHIKRI,
ADHIRKI,
ADHKARI,
ADIGA,
ADIHARI,
ADKHIKARI,
ADUWA,
AERI,
AFROJ,
AFTAB,
AGANJA,
AGARAWAL,
AGARWA,
AGARWAL,
AGASTI,
AGAWAL,
AGRAHARI,
AGRAWAL,
AGRWAL,
AHAMAD,
AHAMED,
AHBED,
AHDIKARI,
AHEMAD,
AHIDKARI,
AHIKARI,
AHIR,
AHIRIN,
AHMAD,
AHMED,
AIDEE,
AIDI,
AIR,
AIREE,
AIRI,
AJAKHYA,
AJAM,
AKHELI,
AKHILESHOR,
AKHTAR,
ALAM,
ALE,
ALEMAGAR,
ALEY,
ALI,
ALIMIYA,
AMAJYA,
AMATYA,
AMGAI,
AMGAIN,
AMGATI,
AMMAY,
ANAND,
ANGBO,
ANGBUHANG,
ANGDEMBE,
ANGENI,
ANGTHUPO,
ANSARI,
ANU,
ANWAR,
ARAYAL,
ARCHARYA,
ARGARIYA,
ARJEL,
ARJYAL,
ARYA,
ARYAL,
ASHAFAK,
ASHRAF,
ASMA,
ATAL,
ATREYA,
ATREYEE,
ATRI,
ATTREYA,
AVILASHA,
AWAEE,
AWAL,
AWALE,
AWASTHI,
AWOSTHI,
AYER,
AYRI,
AYUB,
AZAD,
AZIZ,
B.C,
B.C.,
B.K,
B.K.,
BAAHYAL,
BABU,
BACHHAWAI,
BADA,
BADAHI,
BADAILA,
BADAL,
BADE,
BADGAMI,
BADHU,
BADHYA,
BADHYO,
BADRUDOZA,
BADU,
BADUWAL,
BAG,
BAGA,
BAGADAIYA,
BAGADIA,
BAGADIYA,
BAGAJAIN,
BAGALA,
BAGALE,
BAGARIYA,
BAGCHAND,
BAGDIYA,
BAGELA,
BAGGA,
BAGLE,
BAGWAN,
BAHETI,
BAHETY,
BAHNDARI,
BAHRATI,
BAHTT,
BAHTTA,
BAHTTACHAN,
BAHTTARAI,
BAIDAR,
BAIDAWAR,
BAIDHAYA,
BAIDHYA,
BAIDIK,
BAIDYA,
BAIJU,
BAISALI,
BAISH,
BAISHAY,
BAISHYA,
BAISYAT,
BAISYET,
BAITHA,
BAITYA,
BAJAGAI,
BAJAGAIN,
BAJAJ,
BAJDRACHARYA,
BAJGAI,
BAJGAIN,
BAJIKO,
BAJIMAYA,
BAJIMAYO,
BAJPAYEE,
BAJRACAHARYA,
BAJRACAHRYA,
BAJRACHARAY,
BAJRACHARY,
BAJRACHARYA,
BAJRACHAYA,
BAJRACHAYRA,
BAJRACHRYA,
BAJRCHARYA,
BAJYU,
BAKEY,
BAKHADYO,
BAKHATI,
BAKHREL,
BAKHU,
BAKHUNCHHE,
BAL,
BALA,
BALAL,
BALAMI,
BALAMPAKI,
BALAYA,
BALAYAR,
BALLA,
BALMAPAKI,
BAM,
BAMANU,
BAMJAN,
BAMMA,
BAN,
BANA,
BANDA,
BANDARI,
BANDHU,
BANDU,
BANEPALI,
BANERJEE,
BANGA,
BANIA,
BANIYA,
BANJADAY,
BANJADE,
BANJADEY,
BANJANKAR,
BANJAR,
BANJARA,
BANKA,
BANMALI,
BANSAL,
BANSALI,
BANSET,
BANSKOTA,
BANSTOLA,
BANTAWA,
BANTHA,
BANTWA,
BANU,
BAPHANA,
BARAHI,
BARAI,
BARAILY,
BARAKOTI,
BARAL,
BARALI,
BARAM,
BARAMLE,
BARANAWAL,
BARANWAL,
BARDEWA,
BARINI,
BARIYA,
BARIYAIT,
BARIYATI,
BARJACHARYA,
BARMA,
BARMASHAKHA,
BARME,
BARMECHA,
BARNAWAL,
BARNWAL,
BARTAULA,
BARUN,
BARUWA,
BARUWAL,
BARWAL,
BASAN,
BASAULA,
BASEL,
BASENT,
BASHISTHA,
BASHNATA,
BASHNET,
BASHUKALA,
BASHYAL,
BASI,
BASISTHA,
BASKOTA,
BASNET,
BASNTOLA,
BASNYAAT,
BASNYAT,
BASSI,
BASTAKOTI,
BASTI,
BASTOLA,
BASUKALA,
BASYAL,
BATA,
BATAJOO,
BATAJU,
BATALA,
BATAS,
BATASH,
BATI,
BATTARAI,
BAUDHACHARYA,
